id,number,handle,name,description,registrar_id,registrar_name,org_id,org_name,is_active,is_assigned,acquired_time
1,10310,AS10310,YAHOO-1,"Yahoo Backbone AS",774,ARIN,775,"ARIN YAOO",1,1,982224000
2,26085,AS26085,YAHOO-2,"MD2 (was old SC5 AS)",774,ARIN,775,"ARIN YAOO",1,1,1025593200
3,7233,AS7233,YAHOO-US,"corp SNV",774,ARIN,783,"ARIN YAHOO-1",1,1,845362800
4,17110,AS17110,YAHOO-US2,"corp (was DCN)",774,ARIN,783,"ARIN YAHOO-1",1,1,964594800
5,14678,AS14678,YAHOO-HILLSBORO,,774,ARIN,783,"ARIN YAHOO-1",1,1,1119855600
6,36088,AS36088,YAHOO-BCST-AC2,A2S,774,ARIN,783,"ARIN YAHOO-1",1,1,1124953200
7,7280,AS7280,YAHOO-FC,"Yahoo Anycast AS",774,ARIN,785,"ARIN YHOO",1,1,846835200
8,36229,AS36229,YAHOO-YSM-SPA,"IPv6 test pod (was SC8)",774,ARIN,785,"ARIN YHOO",1,1,2005
9,26101,AS26101,YAHOO-3,"BF1 (was SCD)",774,ARIN,775,"ARIN YAOO",1,1,1970
10,32116,AS32116,YAHOO-4,"HOR Streaming site in GQ1",774,ARIN,775,"ARIN YAOO",1,1,2004
11,5779,AS5779,Y-BR-SERV,"AS for A4E (was DAL)",774,ARIN,797,"ARIN YBS-2",1,1,942825600
12,16515,AS16515,ALTAVISTA,DXS,774,ARIN,791,"ARIN ALTAVI-1",1,1,957510000
13,26316,AS26316,ALTAVISTA,SJB,774,ARIN,791,"ARIN ALTAVI-1",1,1,2002
14,14776,AS14776,INKTOMI-LAWSON,"FREE - was S1S",774,ARIN,796,"ARIN INKT",1,1,2000
15,14777,AS14777,INKTOMI-LAWSON,"FREE - was SK1",774,ARIN,796,"ARIN INKT",1,1,2000
16,14778,AS14778,INKTOMI-LAWSON,AC2,774,ARIN,796,"ARIN INKT",1,1,949910400
17,14779,AS14779,INKTOMI-LAWSON,CH2,774,ARIN,796,"ARIN INKT",1,1,2000
18,14780,AS14780,INKTOMI-LAWSON,"MUD, MDV",774,ARIN,796,"ARIN INKT",1,1,949910400
19,14781,AS14781,INKTOMI-LAWSON,CORP-SAO,774,ARIN,796,"ARIN INKT",1,1,1970
20,10228,AS10228,YAHOO-CN,"FREE - was yahoo CNB",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,1970
21,10229,AS10229,YAHOO-TPE,"Yahoo TPE",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,0
22,10230,AS10230,YAHOO-SG,"Yahoo Singapore",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,0
23,17457,AS17457,YAHOO-AU-AP,"Yahoo Australia",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,0
24,18293,AS18293,YAHOO-HK2-AP,"Yahoo Hong Kong",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,0
25,23879,AS23879,YAHOO-IN,"FREE - was Mumbai VSNL (IN)",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,1970
26,23880,AS23880,YAHOO-KR,"Korea KRS/KRN/KRX",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,0
27,24031,AS24031,YAHOO-TPC,"FREE - was Taipei Chief",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,1970
28,24376,AS24376,YAHOO-CN2-AP,"FREE - was Beijing CT",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,1970
29,23926,AS23926,YAHOO-JP3-AP,"JP DC",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,1970
